study_id	name	version	raw_version	bids_version	raw_bids_version	raw_hed_version	license	authors	author_lead_raw	author_senior_raw	source_count	source_types	derivative_count	subjects_num	sessions_num	sessions_min	sessions_max	bold_num	bold_timepoints	bold_tasks	bold_trs	bold_duration_total	t1w_num	t2w_num	bold_size	t1w_size	bold_size_max	bold_voxels	datatypes	derivative_ids	bids_valid	extraction_version
study-ds000001	Study dataset for ds000001	n/a	1.0.0	1.10.1	1.0.0	n/a	CC0	Yaroslav Halchenko	Tom Schonberg	Russell A. Poldrack	1	raw	2	16	n/a	n/a	n/a	48	14400	balloonanalogrisktask	"{""2.0"": 48}"	28800.0	16	0	2319818025	85042746	50786740	139264	anat,func	fMRIPrep-21.0.1,MRIQC-0.16.1	n/a	1.1.0
study-ds000030	Study dataset for ds000030	n/a	1.0.0	1.10.1	1.0.2	n/a	CC0	Yaroslav Halchenko	Bilder, R	Sabb, F	1	raw	0	272	n/a	n/a	n/a	2004	419364	bart,bht,pamenc,pamret,rest,scap,stopsignal,taskswitch	"{""2.0"": 2004}"	838728.0	265	0	69778929979	3157338052	52217297	139264	anat,beh,dwi,func	n/a	n/a	1.1.0
study-ds000113	Study dataset for ds000113	n/a	1.3.0	1.10.1	1.1.0	n/a	CC0	Yaroslav Halchenko	Michael Hanke	Jorg Stadler	1	raw	0	138	1480	2	19	2079	287201	auditoryperception,coverage,forrestgump,movie,movielocalizer,objectcategories,orientation,retmapccw,retmapclw,retmapcon,retmapexp	"{""1.0"": 152, ""2.0"": 710, ""4.0"": 10, ""24.353"": 20, ""24.355"": 284}"	3629086.0	20	20	444983160451	275942988	791994291	3562500	anat,beh,dwi,fmap,func,motion	n/a	n/a	1.1.0
study-ds000221	Study dataset for ds000221	n/a	1.0.0	1.10.1	1.0.1	n/a	CC0	Yaroslav Halchenko	Anahit Babayan	Arno Villringer	1	raw	0	318	1828	4	9	1016	667197	rest	"{""1.4"": 1016}"	934075.8	319	226	364202520875	5716121014	412792353	495616	anat,dwi,fmap,func	n/a	n/a	1.1.0
study-ds001499	Study dataset for ds001499	n/a	1.3.1	1.10.1	1.0.2	n/a	CC0	Yaroslav Halchenko	Nadine Chang	Elissa M. Aminoff	1	raw	0	75	1720	58	97	540	n/a	5000scenes,localizer	n/a	n/a	5	2	81682472666	35308208	160714538	n/a	anat,dwi,fmap,func	n/a	n/a	1.1.0
study-ds001506	Study dataset for ds001506	n/a	1.3.1	1.10.1	1.0.2	n/a	CC0	Yaroslav Halchenko	Guohua Shen	Yukiyasu Kamitani	1	raw	0	6	456	74	77	588	11700	imagery,perception	"{""2.0"": 60}"	23400.0	3	0	104336600856	29391715	195874054	700416	anat,func	n/a	n/a	1.1.0
study-ds001894	Study dataset for ds001894	n/a	1.4.1	1.10.1	1.2.0	n/a	CC0	Yaroslav Halchenko	James R. Booth	Jessica Wise Younger	1	raw	0	188	824	3	7	1891	370807	AANonWord,AAWord,AVNonWord,AVWord,VVNonWord,VVWord	"{""2.0"": 1891}"	741614.0	237	0	220799591313	1939441133	139995669	491520	anat,dwi,func	n/a	n/a	1.1.0
study-ds002345	Study dataset for ds002345	n/a	1.1.4	1.10.1	1.2.1	n/a	CC0	Yaroslav Halchenko	Samuel A. Nastase	Uri Hasson	1	raw	0	345	n/a	n/a	n/a	873	443743	21styear,black,bronx,forgot,lucy,merlin,milkyway,notthefallintact,notthefalllongscram,notthefallshortscram,pieman,piemanpni,prettymouth,schema,shapesphysical,shapessocial,sherlock,slumlordreach,tunnel	"{""1.5"": 806, ""1.52"": 17, ""1500.0"": 50}"	23143215.5	378	47	136271350705	5112315905	396437691	552960	anat,func	n/a	n/a	1.1.0
study-ds002685	Study dataset for ds002685	n/a	1.3.1	1.10.1	1.0.0	n/a	CC0	Yaroslav Halchenko	Ana Luisa Grilo Pinho	Bertrand Thirion	1	raw	0	13	819	26	73	1678	492801	ArchiEmotional,ArchiSocial,ArchiSpatial,ArchiStandard,Attention,Audi,Audio,Bang,ClipsTrn,ClipsVal,ColumbiaCards,ContRing,Discount,DotPatterns,Enumeration,ExpRing,HcpEmotion,HcpGambling,HcpLanguage,HcpMotor,HcpRelational,HcpSocial,HcpWm,Lec1,Lec2,MCSE,MTTNS,MTTWE,MVEB,MVIS,Moto,PreferenceFaces,PreferenceFood,PreferenceHouses,PreferencePaintings,RSVPLanguage,Raiders,RestingState,SelectiveStopSignal,Self,StopSignal,Stroop,TwoByTwo,VSTM,Visu,WardAndAllport,WedgeAnti,WedgeClock	"{""0.76"": 50, ""2.0"": 1628}"	917114.3	18	15	1450689982987	176622808	1340348623	1523712	anat,dwi,fmap,func	n/a	n/a	1.1.0
study-ds002766	Study dataset for ds002766	n/a	3.0.2	1.10.1	1.2.2	n/a	CC0	Yaroslav Halchenko	Dillan J. Newbold	Nico U.F. Dosenbach	1	raw	0	9	1866	172	274	270	301442	motor,rest	"{""1.1"": 205, ""2.2"": 65}"	375936.0	34	32	186121837504	1060979148	1177682508	453600	anat,fmap,func	n/a	n/a	1.1.0
